Date : 2024/09/17 16:56:08
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
L�gende : 
	Niveau de r�f�rence : 0
	Niveau courant : 3
	Param�tres Q4 : 
		Taille d'un �l�ment : 64
		Nombre maximum d'it�rations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Op�rateur : 
	Lieu : 
	Date : 
	Distance Cam�ras : 
	Angle cam�ras : 
	Distance du Capteur � l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
968.00	663.00	-13.01	12.42	-4.61	0.39	0.21	0.06	
1031.00	663.00	-10.26	12.64	-2.29	0.39	0.17	0.07	
1094.00	663.00	-7.61	12.65	-0.48	0.40	0.11	0.07	
1157.00	663.00	-5.03	12.96	1.22	0.42	0.05	0.09	
1220.00	663.00	-2.51	13.11	2.37	0.42	-0.00	0.08	
1283.00	663.00	-0.02	13.09	2.35	0.41	-0.04	0.08	
1346.00	663.00	2.48	13.01	1.77	0.42	-0.06	0.10	
1409.00	663.00	5.00	12.97	1.40	0.43	-0.09	0.12	
1472.00	663.00	7.50	12.97	1.37	0.43	-0.11	0.12	
1535.00	663.00	10.07	12.92	0.59	0.44	-0.13	0.12	
1598.00	663.00	12.67	12.85	-0.36	0.44	-0.15	0.11	
1661.00	663.00	15.37	12.70	-1.90	0.44	-0.16	0.11	
1724.00	663.00	18.28	12.43	-4.79	0.43	-0.16	0.09	
1787.00	663.00	21.27	12.20	-7.51	0.43	-0.17	0.08	
968.00	726.00	-12.91	9.99	-2.87	0.35	0.20	0.02	
1031.00	726.00	-10.15	10.27	-0.13	0.35	0.17	0.05	
1094.00	726.00	-7.55	10.46	1.31	0.38	0.13	0.09	
1157.00	726.00	-5.02	10.50	1.79	0.40	0.05	0.07	
1220.00	726.00	-2.51	10.61	2.51	0.39	-0.00	0.04	
1283.00	726.00	-0.01	10.55	2.16	0.39	-0.04	0.05	
1346.00	726.00	2.50	10.45	1.46	0.40	-0.06	0.06	
1409.00	726.00	5.01	10.46	1.53	0.40	-0.09	0.07	
1472.00	726.00	7.53	10.44	1.29	0.40	-0.11	0.07	
1535.00	726.00	10.09	10.39	0.61	0.41	-0.13	0.07	
1598.00	726.00	12.71	10.28	-0.38	0.41	-0.15	0.07	
1661.00	726.00	15.42	10.12	-1.97	0.41	-0.16	0.07	
1724.00	726.00	18.31	9.83	-4.56	0.41	-0.16	0.06	
1787.00	726.00	21.33	9.51	-7.52	0.40	-0.17	0.04	
968.00	789.00	-12.83	7.56	-1.40	0.32	0.19	0.00	
1031.00	789.00	-10.13	7.83	0.70	0.32	0.17	0.04	
1094.00	789.00	-7.55	7.98	1.75	0.36	0.13	0.09	
1157.00	789.00	-5.03	8.00	1.86	0.38	0.05	0.03	
1220.00	789.00	-2.52	8.01	1.96	0.37	0.01	0.01	
1283.00	789.00	-0.01	7.96	1.65	0.37	-0.02	0.02	
1346.00	789.00	2.51	7.92	1.34	0.37	-0.05	0.02	
1409.00	789.00	5.02	7.95	1.71	0.37	-0.08	0.03	
1472.00	789.00	7.55	7.91	1.28	0.37	-0.10	0.03	
1535.00	789.00	10.12	7.85	0.70	0.38	-0.12	0.04	
1598.00	789.00	12.75	7.71	-0.44	0.38	-0.14	0.04	
1661.00	789.00	15.47	7.51	-2.06	0.38	-0.15	0.04	
1724.00	789.00	18.41	7.14	-4.98	0.38	-0.16	0.03	
1787.00	789.00	21.35	6.88	-7.17	0.37	-0.16	0.02	
968.00	852.00	-12.84	5.00	-1.13	0.29	0.18	-0.01	
1031.00	852.00	-10.16	5.26	0.61	0.30	0.17	0.03	
1094.00	852.00	-7.56	5.46	1.94	0.36	0.13	0.11	
1157.00	852.00	-5.05	5.46	1.74	0.36	0.05	0.00	
1220.00	852.00	-2.53	5.40	1.41	0.35	0.01	-0.01	
1283.00	852.00	-0.01	5.31	0.93	0.34	-0.01	-0.03	
1346.00	852.00	2.53	5.32	0.88	0.35	-0.04	-0.02	
1409.00	852.00	5.05	5.37	1.24	0.35	-0.07	-0.00	
1472.00	852.00	7.59	5.32	1.01	0.34	-0.09	-0.01	
1535.00	852.00	10.16	5.26	0.49	0.35	-0.11	0.00	
1598.00	852.00	12.81	5.10	-0.71	0.35	-0.13	0.00	
1661.00	852.00	15.57	4.85	-2.52	0.35	-0.14	0.01	
1724.00	852.00	18.50	4.45	-5.24	0.35	-0.15	-0.00	
1787.00	852.00	21.45	4.15	-7.44	0.34	-0.15	-0.01	
968.00	915.00	-12.85	2.45	-0.77	0.28	0.16	-0.01	
1031.00	915.00	-10.21	2.61	0.32	0.28	0.16	0.03	
1094.00	915.00	-7.60	2.84	1.43	0.34	0.12	0.09	
1157.00	915.00	-5.07	2.85	1.35	0.33	0.05	-0.03	
1220.00	915.00	-2.55	2.71	0.66	0.33	0.02	-0.03	
1283.00	915.00	-0.00	2.65	0.32	0.32	-0.00	-0.04	
1346.00	915.00	2.54	2.71	0.62	0.33	-0.03	-0.04	
1409.00	915.00	5.07	2.78	1.05	0.33	-0.06	-0.04	
1472.00	915.00	7.62	2.74	0.83	0.32	-0.08	-0.04	
1535.00	915.00	10.21	2.65	0.21	0.32	-0.10	-0.03	
1598.00	915.00	12.88	2.44	-1.08	0.32	-0.11	-0.02	
1661.00	915.00	15.69	2.11	-3.28	0.33	-0.13	-0.01	
1724.00	915.00	18.62	1.69	-5.78	0.32	-0.14	-0.02	
1787.00	915.00	21.56	1.39	-7.77	0.32	-0.15	-0.03	
1031.00	978.00	-10.27	-0.05	-0.18	0.29	0.13	0.06	
1094.00	978.00	-7.67	0.10	0.38	0.32	0.10	0.04	
1157.00	978.00	-5.10	0.23	1.01	0.31	0.06	-0.02	
1220.00	978.00	-2.56	0.13	0.57	0.31	0.02	-0.04	
1283.00	978.00	0.00	0.00	0.00	0.30	-0.00	-0.06	
1346.00	978.00	2.55	0.13	0.69	0.31	-0.03	-0.05	
1409.00	978.00	5.10	0.16	0.85	0.30	-0.05	-0.06	
1472.00	978.00	7.65	0.14	0.72	0.30	-0.07	-0.05	
1535.00	978.00	10.25	0.05	0.19	0.30	-0.09	-0.05	
