Date : 2024/09/17 16:56:07
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 2
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1598.00	726.00	12.71	10.28	-0.38	0.81	-0.15	0.06	
1661.00	726.00	15.42	10.12	-1.97	0.80	-0.18	0.04	
1724.00	726.00	18.31	9.83	-4.56	0.78	-0.20	0.00	
1787.00	726.00	21.33	9.51	-7.52	0.75	-0.22	-0.03	
968.00	789.00	-12.83	7.56	-1.40	0.70	0.32	0.19	
1031.00	789.00	-10.13	7.83	0.70	0.71	0.30	0.23	
1094.00	789.00	-7.55	7.98	1.75	0.75	0.26	0.30	
1157.00	789.00	-5.03	8.00	1.86	0.78	0.16	0.22	
1220.00	789.00	-2.52	8.01	1.96	0.79	0.10	0.18	
1283.00	789.00	-0.01	7.96	1.65	0.79	0.05	0.15	
1346.00	789.00	2.51	7.92	1.34	0.78	0.01	0.12	
1409.00	789.00	5.02	7.95	1.71	0.79	-0.04	0.10	
1472.00	789.00	7.55	7.91	1.28	0.78	-0.08	0.07	
1535.00	789.00	10.12	7.85	0.70	0.77	-0.11	0.04	
1598.00	789.00	12.75	7.71	-0.44	0.76	-0.15	0.02	
1661.00	789.00	15.47	7.51	-2.06	0.75	-0.18	-0.00	
1724.00	789.00	18.41	7.14	-4.98	0.73	-0.20	-0.03	
1787.00	789.00	21.35	6.88	-7.17	0.70	-0.21	-0.06	
968.00	852.00	-12.84	5.00	-1.13	0.65	0.31	0.18	
1031.00	852.00	-10.16	5.26	0.61	0.66	0.30	0.23	
1094.00	852.00	-7.56	5.46	1.94	0.73	0.25	0.30	
1157.00	852.00	-5.05	5.46	1.74	0.74	0.16	0.18	
1220.00	852.00	-2.53	5.40	1.41	0.74	0.11	0.15	
1283.00	852.00	-0.01	5.31	0.93	0.73	0.06	0.11	
1346.00	852.00	2.53	5.32	0.88	0.73	0.02	0.08	
1409.00	852.00	5.05	5.37	1.24	0.75	-0.03	0.07	
1472.00	852.00	7.59	5.32	1.01	0.73	-0.07	0.03	
1535.00	852.00	10.16	5.26	0.49	0.72	-0.10	0.01	
1598.00	852.00	12.81	5.10	-0.71	0.71	-0.14	-0.01	
1661.00	852.00	15.57	4.85	-2.52	0.70	-0.17	-0.03	
1724.00	852.00	18.50	4.45	-5.24	0.67	-0.19	-0.06	
1787.00	852.00	21.45	4.15	-7.44	0.65	-0.20	-0.10	
968.00	915.00	-12.85	2.45	-0.77	0.61	0.29	0.18	
1031.00	915.00	-10.21	2.61	0.32	0.62	0.29	0.22	
1094.00	915.00	-7.60	2.84	1.43	0.69	0.24	0.28	
