Date : 2024/09/17 16:56:06
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 1
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
905.00	474.00	-16.11	19.84	-11.00	0.91	0.28	0.11	
968.00	474.00	-13.30	19.89	-9.49	0.91	0.24	0.09	
1031.00	474.00	-10.49	20.03	-7.15	0.93	0.19	0.08	
1094.00	474.00	-7.73	20.21	-4.37	0.97	0.15	0.14	
1157.00	474.00	-5.10	20.25	-2.56	0.97	0.11	0.09	
1220.00	474.00	-2.53	20.36	-0.56	1.01	0.07	0.14	
1283.00	474.00	-0.01	20.42	0.29	1.00	0.02	0.08	
1346.00	474.00	2.50	20.40	-0.11	1.00	-0.00	0.07	
1409.00	474.00	5.02	20.36	-0.48	1.01	-0.03	0.05	
1472.00	474.00	7.53	20.41	-0.37	1.01	-0.06	0.03	
1535.00	474.00	10.16	20.34	-1.98	1.00	-0.08	0.00	
1598.00	474.00	12.83	20.27	-3.40	0.99	-0.10	-0.01	
1661.00	474.00	15.56	20.23	-4.98	0.98	-0.12	-0.05	
1724.00	474.00	18.43	20.16	-7.25	0.98	-0.14	-0.05	
1787.00	474.00	21.47	20.01	-10.27	0.92	-0.15	-0.12	
842.00	537.00	-18.66	17.35	-9.28	0.88	0.34	0.12	
905.00	537.00	-16.03	17.27	-9.75	0.87	0.29	0.06	
968.00	537.00	-13.25	17.32	-8.51	0.88	0.23	0.03	
1031.00	537.00	-10.39	17.58	-5.17	0.94	0.19	0.12	
1094.00	537.00	-7.69	17.70	-2.97	0.93	0.15	0.09	
1157.00	537.00	-5.07	17.79	-1.13	0.96	0.10	0.08	
1220.00	537.00	-2.52	17.85	0.33	1.00	0.06	0.12	
1283.00	537.00	-0.02	17.98	1.43	0.99	0.02	0.06	
1346.00	537.00	2.48	17.98	1.26	0.98	-0.00	0.05	
1409.00	537.00	5.00	17.94	0.51	1.00	-0.03	0.04	
1472.00	537.00	7.50	17.94	0.66	0.99	-0.06	0.02	
1535.00	537.00	10.10	17.89	-0.76	0.98	-0.08	-0.02	
1598.00	537.00	12.73	17.82	-1.89	0.98	-0.10	-0.02	
1661.00	537.00	15.46	17.72	-3.61	0.97	-0.12	-0.05	
1724.00	537.00	18.29	17.60	-5.72	0.96	-0.14	-0.08	
1787.00	537.00	21.37	17.41	-9.06	0.92	-0.15	-0.12	
905.00	600.00	-15.89	14.76	-7.88	0.84	0.27	0.05	
968.00	600.00	-13.14	14.85	-6.59	0.86	0.23	0.05	
